h_km,beta,v_rel_m_s,d_debris_cm,m_t_g,m_p_min_g,m_p_design_g,f_h_g_per_g,f_h_v4_direct_g_per_g,f_ratio_v4_over_v5,Es_kJ_kg,Es_below_threshold,d_grain_Re_mm_if_single,d_grain_W_mm_if_single
600,2,619,5,176.715,7.88337,15.7667,0.0892215,0.229352,2.57059,17.0931,True,11.2747,11.6084
600,2,619,10,1413.72,63.067,126.134,0.0892215,0.229352,2.57059,17.0931,True,22.5494,23.2167
600,2,800,0.5,0.176715,0.00609976,0.0121995,0.0690352,0.177461,2.57059,22.0912,True,1.03508,1.06571
600,2,800,1,1.41372,0.0487981,0.0975961,0.0690352,0.177461,2.57059,22.0912,True,2.07015,2.13141
600,2,800,2,11.3097,0.390385,0.780769,0.0690352,0.177461,2.57059,22.0912,True,4.14031,4.26283
600,2,800,5,176.715,6.09976,12.1995,0.0690352,0.177461,2.57059,22.0912,True,10.3508,10.6571
600,2,800,10,1413.72,48.7981,97.5961,0.0690352,0.177461,2.57059,22.0912,True,20.7015,21.3141
600,2,1000,0.5,0.176715,0.00487981,0.00975961,0.0552281,0.141969,2.57059,27.6141,True,0.96088,0.989315
600,2,1000,1,1.41372,0.0390385,0.0780769,0.0552281,0.141969,2.57059,27.6141,True,1.92176,1.97863
600,2,1000,2,11.3097,0.312308,0.624615,0.0552281,0.141969,2.57059,27.6141,True,3.84352,3.95726
600,2,1000,5,176.715,4.87981,9.75961,0.0552281,0.141969,2.57059,27.6141,True,9.6088,9.89315
600,2,1000,10,1413.72,39.0385,78.0769,0.0552281,0.141969,2.57059,27.6141,True,19.2176,19.7863
600,2.5,400,0.5,0.176715,0.00975961,0.0195192,0.110456,0.283938,2.57059,8.8365,True,1.21063,1.24646
600,2.5,400,1,1.41372,0.0780769,0.156154,0.110456,0.283938,2.57059,8.8365,True,2.42127,2.49292
600,2.5,400,2,11.3097,0.624615,1.24923,0.110456,0.283938,2.57059,8.8365,True,4.84253,4.98583
600,2.5,400,5,176.715,9.75961,19.5192,0.110456,0.283938,2.57059,8.8365,True,12.1063,12.4646
600,2.5,400,10,1413.72,78.0769,156.154,0.110456,0.283938,2.57059,8.8365,True,24.2127,24.9292
600,2.5,619,0.5,0.176715,0.0063067,0.0126134,0.0713772,0.183482,2.57059,13.6745,True,1.04665,1.07762
600,2.5,619,1,1.41372,0.0504536,0.100907,0.0713772,0.183482,2.57059,13.6745,True,2.0933,2.15525
600,2.5,619,2,11.3097,0.403629,0.807257,0.0713772,0.183482,2.57059,13.6745,True,4.18661,4.3105
600,2.5,619,5,176.715,6.3067,12.6134,0.0713772,0.183482,2.57059,13.6745,True,10.4665,10.7762
600,2.5,619,10,1413.72,50.4536,100.907,0.0713772,0.183482,2.57059,13.6745,True,20.933,21.5525
600,2.5,800,0.5,0.176715,0.00487981,0.00975961,0.0552281,0.141969,2.57059,17.673,True,0.96088,0.989315
